Model,Accuracy,Precision,Recall,F1-Score
LSTM,0.9333333333333333,0.9642857142857143,0.9,0.9310344827586207
GRU,0.95,1.0,0.9,0.9473684210526315
Bi-Mamba,0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104
